SK_ID_CURR,SK_ID_PREV,AMT_ANNUITY,CNT_PAYMENT,TARGET,AMT_CREDIT,TOTAL_REPAID_PER_LOAN,FINAL_INSTAL_NUM,FV,PENALTY_IMPOSED,CODE_GENDER,NAME_INCOME_TYPE,NAME_HOUSING_TYPE,FLAG_EMP_PHONE,FLAG_CONT_MOBILE,FLAG_OWN_REALTY,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,NAME_EDUCATION_TYPE,NAME_PRODUCT_TYPE,NAME_YIELD_GROUP,INTEREST_RATE
114309,2074818,115780.0,12.0,0,1129887.0,1756971.0,13,1389360.0,367611.0,F,Commercial associate,House / apartment,Yes,Yes,N,No,No,Secondary / secondary special,walk-in,middle,20.0
115305,1783591,14224.0,18.0,0,171414.0,285368.0,19,256032.0,29336.0,F,Working,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,high,30.0
116924,2154589,5693.0,12.0,0,47970.0,75332.0,13,68316.0,7016.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,walk-in,high,40.0
120356,1846932,10213.0,24.0,0,152820.0,266949.0,25,245112.0,21837.0,F,Working,House / apartment,Yes,Yes,N,No,No,Secondary / secondary special,x-sell,middle,30.0
122469,1562445,20952.0,12.0,0,220662.0,252221.0,13,251424.0,797.0,F,Working,House / apartment,Yes,Yes,N,No,No,Higher education,x-sell,low_normal,10.0
124035,2668168,23740.0,24.0,0,445563.0,594400.0,25,569760.0,24640.0,F,State servant,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,low_normal,10.0
124161,1374295,42671.0,18.0,0,550948.0,1031152.0,19,768078.0,263074.0,M,Commercial associate,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
126928,1209133,14379.0,12.0,0,143910.0,259847.0,13,172548.0,87299.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
127070,1422985,34704.0,6.0,0,185940.0,243209.0,7,208224.0,34985.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Higher education,x-sell,middle,30.0
127486,2437781,9287.0,12.0,0,82112.0,113098.0,13,111444.0,1654.0,M,Working,Rented apartment,Yes,Yes,Y,No,Yes,Secondary / secondary special,x-sell,high,40.0
128324,2339824,12597.0,24.0,0,203760.0,349781.0,25,302328.0,47453.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
130413,2174491,7373.0,12.0,0,71955.0,89583.0,13,88476.0,1107.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
130413,2558990,4130.0,24.0,0,67500.0,104525.0,25,99120.0,5405.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
130796,1454933,12964.0,24.0,1,232160.0,367991.0,25,311136.0,56855.0,M,Working,House / apartment,Yes,Yes,Y,No,Yes,Incomplete higher,walk-in,low_normal,20.0
133612,1745585,28463.0,36.0,0,630000.0,1052927.0,37,1024668.0,28259.0,M,Pensioner,House / apartment,No,Yes,Y,No,No,Higher education,x-sell,middle,20.0
133612,1745588,16640.0,18.0,0,222548.0,350738.0,19,299520.0,51218.0,M,Pensioner,House / apartment,No,Yes,Y,No,No,Higher education,x-sell,middle,20.0
133719,2216755,8399.0,6.0,0,45000.0,50801.0,7,50394.0,407.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,30.0
134358,2791035,19858.0,30.0,0,413577.0,615641.0,31,595740.0,19901.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,low_normal,20.0
138575,1722759,47172.0,12.0,0,470790.0,567009.0,13,566064.0,945.0,F,Working,House / apartment,Yes,Yes,Y,No,Yes,Secondary / secondary special,x-sell,middle,20.0
139739,2083254,39569.0,12.0,0,376632.0,674841.0,13,474828.0,200013.0,F,Working,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,30.0
140317,2234156,12689.0,18.0,0,158256.0,231403.0,19,228402.0,3001.0,F,Working,Municipal apartment,Yes,Yes,N,No,No,Secondary / secondary special,x-sell,middle,30.0
141951,1989411,22373.0,18.0,0,268083.0,430717.0,19,402714.0,28003.0,F,Commercial associate,House / apartment,Yes,Yes,Y,Yes,Yes,Higher education,x-sell,high,30.0
144527,1820483,22198.0,24.0,0,347004.0,581868.0,25,532752.0,49116.0,F,State servant,House / apartment,Yes,Yes,Y,No,Yes,Secondary / secondary special,x-sell,middle,20.0
147461,1404607,48242.0,12.0,0,470790.0,629180.0,13,578904.0,50276.0,F,Working,House / apartment,Yes,Yes,Y,No,No,Higher education,walk-in,middle,20.0
147472,1865844,15215.0,6.0,0,78196.0,92931.0,7,91290.0,1641.0,F,Working,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,high,40.0
148130,2487780,19271.0,24.0,0,243936.0,517363.0,25,462504.0,54859.0,M,Working,House / apartment,Yes,Yes,Y,No,Yes,Secondary / secondary special,walk-in,high,40.0
151064,1238321,20663.0,12.0,0,196677.0,248615.0,13,247956.0,659.0,F,Working,House / apartment,Yes,Yes,Y,No,No,Incomplete higher,x-sell,middle,30.0
151111,2045130,27083.0,24.0,0,386311.0,650301.0,25,649992.0,309.0,F,Commercial associate,Municipal apartment,Yes,Yes,N,No,No,Secondary / secondary special,x-sell,high,30.0
155470,1476578,16424.0,24.0,0,254700.0,445993.0,25,394176.0,51817.0,F,Pensioner,House / apartment,No,Yes,N,Yes,No,Secondary / secondary special,x-sell,middle,20.0
155577,1643219,45995.0,12.0,0,470790.0,553767.0,13,551940.0,1827.0,F,Commercial associate,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,low_normal,20.0
157176,1363249,19740.0,12.0,0,165226.0,238557.0,13,236880.0,1677.0,M,Working,House / apartment,Yes,Yes,N,No,No,Secondary / secondary special,walk-in,high,40.0
157856,1446850,9479.0,6.0,0,51795.0,76001.0,7,56874.0,19127.0,M,Working,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
159156,2817526,8757.0,6.0,1,45000.0,53173.0,7,52542.0,631.0,M,Commercial associate,House / apartment,Yes,Yes,N,Yes,Yes,Secondary / secondary special,x-sell,high,40.0
159456,1362343,22901.0,12.0,0,191880.0,310374.0,13,274812.0,35562.0,M,Working,House / apartment,Yes,Yes,N,No,No,Secondary / secondary special,walk-in,high,40.0
159937,1019091,17079.0,12.0,1,143910.0,206068.0,13,204948.0,1120.0,F,Working,House / apartment,Yes,Yes,Y,No,No,Lower secondary,walk-in,high,40.0
160308,1969072,8978.0,6.0,0,46485.0,70919.0,7,53868.0,17051.0,M,Working,House / apartment,Yes,Yes,Y,Yes,Yes,Secondary / secondary special,walk-in,middle,30.0
160308,2653284,9686.0,6.0,0,51898.0,68333.0,7,58116.0,10217.0,M,Working,House / apartment,Yes,Yes,Y,Yes,Yes,Secondary / secondary special,x-sell,middle,30.0
161323,1265689,39407.0,18.0,0,546178.0,758245.0,19,709326.0,48919.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
163697,2100630,3480.0,30.0,0,62910.0,107984.0,31,104400.0,3584.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
164767,1532690,11316.0,18.0,0,139500.0,217148.0,19,203688.0,13460.0,F,Working,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,30.0
167307,1783330,33621.0,18.0,0,481185.0,609162.0,19,605178.0,3984.0,F,Commercial associate,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,low_normal,20.0
167646,2804121,10590.0,12.0,0,95940.0,149831.0,13,127080.0,22751.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,high,30.0
171260,2429557,36778.0,12.0,0,332046.0,482558.0,13,441336.0,41222.0,F,Commercial associate,House / apartment,Yes,Yes,Y,No,No,Higher education,x-sell,high,30.0
172464,1356375,46884.0,6.0,0,262026.0,284443.0,7,281304.0,3139.0,F,Commercial associate,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
172903,2438712,44864.0,12.0,0,472500.0,583895.0,13,538368.0,45527.0,F,Working,House / apartment,Yes,Yes,N,Yes,Yes,Secondary / secondary special,x-sell,low_normal,10.0
173641,1016568,16364.0,18.0,0,225000.0,295644.0,19,294552.0,1092.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
176012,1383396,19303.0,12.0,0,191880.0,234077.0,13,231636.0,2441.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
178350,2286379,16632.0,12.0,0,162315.0,200732.0,13,199584.0,1148.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
181504,2383939,26574.0,18.0,0,289732.0,482055.0,19,478332.0,3723.0,F,Working,House / apartment,Yes,Yes,Y,No,No,Higher education,walk-in,high,40.0
183422,2345502,6804.0,18.0,0,74182.0,123467.0,19,122472.0,995.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,walk-in,high,40.0
183569,1343661,26322.0,24.0,0,491580.0,667035.0,25,631728.0,35307.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Higher education,x-sell,low_normal,10.0
186114,2155554,51208.0,18.0,0,709749.0,923259.0,19,921744.0,1515.0,M,Commercial associate,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
189713,2430520,26763.0,6.0,1,139455.0,164090.0,7,160578.0,3512.0,M,Working,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,30.0
194453,1744756,28503.0,12.0,0,271300.0,346538.0,13,342036.0,4502.0,M,Working,House / apartment,Yes,Yes,Y,No,Yes,Secondary / secondary special,x-sell,middle,30.0
196636,2090292,56904.0,30.0,0,1013607.0,1711396.0,31,1707120.0,4276.0,M,Working,House / apartment,Yes,Yes,N,No,No,Secondary / secondary special,x-sell,middle,20.0
199631,2792164,26460.0,36.0,0,517500.0,982280.0,37,952560.0,29720.0,M,Working,House / apartment,Yes,Yes,N,No,No,Secondary / secondary special,x-sell,middle,20.0
200261,1226866,16206.0,24.0,0,274941.0,407196.0,25,388944.0,18252.0,F,Working,House / apartment,Yes,Yes,Y,No,Yes,Higher education,x-sell,middle,20.0
200781,1746023,66089.0,24.0,0,1237954.0,1589289.0,25,1586136.0,3153.0,F,State servant,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,low_normal,10.0
200870,2800895,8686.0,6.0,0,46485.0,52639.0,7,52116.0,523.0,F,Pensioner,House / apartment,No,Yes,N,No,No,Higher education,x-sell,middle,30.0
202284,2174557,50256.0,24.0,0,900000.0,1306237.0,25,1206144.0,100093.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,low_normal,20.0
203188,1710864,60917.0,24.0,0,952272.0,1829349.0,25,1462008.0,367341.0,M,Commercial associate,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
203632,1970222,19609.0,12.0,1,165226.0,255176.0,13,235308.0,19868.0,M,Working,House / apartment,Yes,Yes,Y,Yes,Yes,Secondary / secondary special,x-sell,high,40.0
204278,2627642,11401.0,18.0,0,142196.0,228851.0,19,205218.0,23633.0,F,Working,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,30.0
206180,1714837,23572.0,24.0,0,442422.0,568069.0,25,565728.0,2341.0,M,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,low_normal,10.0
207432,1461631,23704.0,18.0,0,340574.0,451710.0,19,426672.0,25038.0,M,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,low_normal,20.0
207986,2561620,26145.0,12.0,0,220302.0,317166.0,13,313740.0,3426.0,F,Commercial associate,House / apartment,Yes,Yes,Y,No,Yes,Secondary / secondary special,walk-in,high,40.0
208441,1537328,16589.0,24.0,0,237766.0,563912.0,25,398136.0,165776.0,M,Working,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,high,30.0
211272,1112028,31659.0,6.0,0,162698.0,222786.0,7,189954.0,32832.0,M,Working,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,high,40.0
215136,2260244,34132.0,18.0,0,440752.0,620077.0,19,614376.0,5701.0,M,Commercial associate,Municipal apartment,Yes,Yes,N,No,No,Lower secondary,x-sell,middle,20.0
216682,1724385,47492.0,12.0,0,400172.0,626061.0,13,569904.0,56157.0,M,State servant,Municipal apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,high,40.0
217306,1106350,82168.0,18.0,0,1178703.0,1570104.0,19,1479024.0,91080.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Higher education,x-sell,low_normal,20.0
217306,1514052,18033.0,18.0,0,248130.0,327510.0,19,324594.0,2916.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Higher education,x-sell,middle,20.0
217878,2721300,27436.0,24.0,0,467001.0,691479.0,25,658464.0,33015.0,M,Commercial associate,House / apartment,Yes,Yes,Y,No,No,Higher education,x-sell,middle,20.0
218381,2412982,17110.0,6.0,0,92970.0,104209.0,7,102660.0,1549.0,F,Working,Municipal apartment,Yes,Yes,N,No,No,Secondary / secondary special,x-sell,middle,20.0
219964,2413460,62640.0,18.0,0,900000.0,1255637.0,19,1127520.0,128117.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,low_normal,20.0
220955,2564510,9831.0,12.0,0,95940.0,147920.0,13,117972.0,29948.0,F,Pensioner,House / apartment,No,Yes,N,No,No,Secondary / secondary special,x-sell,middle,20.0
221446,1306025,29641.0,6.0,0,155925.0,179148.0,7,177846.0,1302.0,M,Working,House / apartment,Yes,Yes,N,No,No,Secondary / secondary special,x-sell,middle,30.0
222306,1975398,19272.0,24.0,0,299223.0,465616.0,25,462528.0,3088.0,M,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
223093,1283799,12916.0,12.0,1,119925.0,156462.0,13,154992.0,1470.0,M,Pensioner,Municipal apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,30.0
223669,2623214,14755.0,6.0,0,77962.0,89463.0,7,88530.0,933.0,F,Working,House / apartment,Yes,Yes,Y,Yes,Yes,Secondary / secondary special,x-sell,middle,30.0
226133,1390085,6286.0,18.0,1,84074.0,119493.0,19,113148.0,6345.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
227389,1594701,12768.0,24.0,0,161622.0,319213.0,25,306432.0,12781.0,M,Commercial associate,Municipal apartment,Yes,Yes,Y,No,Yes,Secondary / secondary special,x-sell,high,40.0
227775,2525490,4793.0,12.0,0,47970.0,57650.0,13,57516.0,134.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Incomplete higher,x-sell,middle,20.0
229332,2459729,60917.0,24.0,0,952272.0,1545836.0,25,1462008.0,83828.0,F,Working,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
229384,1844118,6354.0,18.0,0,89438.0,134241.0,19,114372.0,19869.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,low_normal,20.0
233922,2013728,15393.0,18.0,0,227493.0,324135.0,19,277074.0,47061.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,low_normal,10.0
235896,2653600,14224.0,18.0,0,171414.0,257006.0,19,256032.0,974.0,F,Working,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,high,30.0
241616,2044994,44964.0,12.0,0,450000.0,765760.0,13,539568.0,226192.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
242641,2050683,42907.0,6.0,0,235710.0,301382.0,7,257442.0,43940.0,M,Pensioner,House / apartment,No,Yes,Y,No,No,Higher education,x-sell,low_normal,20.0
244213,2491577,21336.0,18.0,0,257116.0,387933.0,19,384048.0,3885.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,high,30.0
246899,1575684,18823.0,12.0,0,191880.0,226254.0,13,225876.0,378.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Higher education,x-sell,low_normal,20.0
247432,1221359,70054.0,24.0,0,1095111.0,1687516.0,25,1681296.0,6220.0,F,Working,House / apartment,Yes,Yes,Y,No,No,Higher education,x-sell,middle,20.0
252581,2051372,27445.0,24.0,0,491580.0,688399.0,25,658680.0,29719.0,F,Commercial associate,House / apartment,Yes,Yes,Y,No,No,Higher education,x-sell,low_normal,20.0
257913,2597653,19141.0,24.0,0,299223.0,461317.0,25,459384.0,1933.0,M,Working,House / apartment,Yes,Yes,Y,No,No,Higher education,x-sell,middle,20.0
260468,1960305,29059.0,6.0,0,155696.0,233852.0,7,174354.0,59498.0,M,Commercial associate,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,30.0
261280,2788571,28443.0,24.0,0,359991.0,828075.0,25,682632.0,145443.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,high,40.0
262938,1244424,16932.0,18.0,1,202500.0,306540.0,19,304776.0,1764.0,M,Working,House / apartment,Yes,Yes,Y,No,No,Higher education,x-sell,high,30.0
265202,1693370,36613.0,24.0,0,626180.0,879116.0,25,878712.0,404.0,M,Working,House / apartment,Yes,Yes,N,No,No,Secondary / secondary special,x-sell,middle,20.0
268600,1326337,28593.0,12.0,0,239850.0,345986.0,13,343116.0,2870.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,walk-in,high,40.0
269506,1448620,6206.0,18.0,0,84200.0,116484.0,19,111708.0,4776.0,F,Commercial associate,House / apartment,Yes,Yes,Y,No,No,Higher education,x-sell,middle,20.0
269506,2118377,13653.0,24.0,0,233500.0,328895.0,25,327672.0,1223.0,F,Commercial associate,House / apartment,Yes,Yes,Y,No,No,Higher education,x-sell,middle,20.0
269920,2084934,36631.0,6.0,1,180000.0,257556.0,7,219786.0,37770.0,F,Commercial associate,House / apartment,Yes,Yes,Y,No,No,Higher education,walk-in,high,50.0
270153,2571854,13896.0,24.0,0,225000.0,364111.0,25,333504.0,30607.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
272230,1027532,16839.0,24.0,0,299223.0,556081.0,25,404136.0,151945.0,F,Pensioner,House / apartment,No,Yes,N,No,No,Secondary / secondary special,x-sell,low_normal,20.0
272329,1061873,22179.0,12.0,0,220662.0,290554.0,13,266148.0,24406.0,F,Pensioner,House / apartment,No,Yes,N,No,No,Secondary / secondary special,x-sell,middle,20.0
274974,2566861,31376.0,30.0,0,504441.0,942904.0,31,941280.0,1624.0,F,Working,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,high,30.0
277991,1815039,17713.0,12.0,0,163256.0,213057.0,13,212556.0,501.0,M,Working,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,30.0
278516,1189626,68139.0,12.0,0,698166.0,888911.0,13,817668.0,71243.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,low_normal,20.0
278904,1800164,34885.0,12.0,0,332046.0,459156.0,13,418620.0,40536.0,F,Commercial associate,House / apartment,Yes,Yes,Y,No,Yes,Secondary / secondary special,x-sell,middle,30.0
279457,1308945,4924.0,12.0,0,47970.0,59386.0,13,59088.0,298.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
284496,1257883,43380.0,6.0,0,232425.0,298975.0,7,260280.0,38695.0,F,Working,House / apartment,Yes,Yes,N,No,No,Secondary / secondary special,x-sell,middle,30.0
284950,2071173,17079.0,12.0,0,143910.0,208095.0,13,204948.0,3147.0,M,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,walk-in,high,40.0
285225,2755613,17496.0,24.0,0,299223.0,421098.0,25,419904.0,1194.0,F,Pensioner,House / apartment,No,Yes,N,No,No,Secondary / secondary special,x-sell,middle,20.0
287891,2704514,13237.0,12.0,0,119925.0,160680.0,13,158844.0,1836.0,M,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,high,30.0
289086,1499236,5544.0,12.0,0,54104.0,72136.0,13,66528.0,5608.0,F,Commercial associate,House / apartment,Yes,Yes,Y,No,Yes,Secondary / secondary special,x-sell,middle,20.0
294663,2791160,22210.0,24.0,0,397750.0,534394.0,25,533040.0,1354.0,F,State servant,House / apartment,Yes,Yes,N,No,Yes,Secondary / secondary special,x-sell,low_normal,20.0
294928,2450428,33775.0,12.0,0,284612.0,409183.0,13,405300.0,3883.0,M,Commercial associate,Municipal apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,high,40.0
296655,1319808,28917.0,24.0,0,450000.0,751576.0,25,694008.0,57568.0,M,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
298890,1789446,33767.0,36.0,0,744498.0,1263739.0,37,1215612.0,48127.0,F,Commercial associate,House / apartment,Yes,Yes,N,No,No,Lower secondary,x-sell,middle,20.0
299073,1364691,6971.0,12.0,0,65110.0,84183.0,13,83652.0,531.0,M,Working,House / apartment,Yes,Yes,N,No,Yes,Secondary / secondary special,x-sell,middle,30.0
299242,1496708,4793.0,12.0,0,47970.0,58393.0,13,57516.0,877.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
299286,2320083,7190.0,12.0,0,71955.0,87670.0,13,86280.0,1390.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
299803,2395410,42680.0,12.0,0,405000.0,518661.0,13,512160.0,6501.0,M,Pensioner,Office apartment,No,Yes,N,No,No,Secondary / secondary special,x-sell,middle,30.0
304658,1354487,67287.0,24.0,0,1097694.0,1750268.0,25,1614888.0,135380.0,F,Commercial associate,House / apartment,Yes,Yes,N,No,No,Secondary / secondary special,walk-in,middle,20.0
305222,1729971,8340.0,24.0,1,142632.0,201427.0,25,200160.0,1267.0,F,Pensioner,House / apartment,No,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,20.0
307452,1351154,22141.0,18.0,0,316246.0,420802.0,19,398538.0,22264.0,F,Working,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,low_normal,20.0
309079,1251793,23834.0,18.0,0,285682.0,460046.0,19,429012.0,31034.0,M,Working,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,high,30.0
310128,1600841,54821.0,12.0,0,561384.0,661806.0,13,657852.0,3954.0,M,Working,House / apartment,Yes,Yes,Y,No,Yes,Secondary / secondary special,x-sell,low_normal,20.0
310375,1864275,53051.0,12.0,1,530937.0,638913.0,13,636612.0,2301.0,M,Commercial associate,Municipal apartment,Yes,Yes,N,No,No,Secondary / secondary special,x-sell,middle,20.0
310623,2167341,8086.0,12.0,0,80928.0,97790.0,13,97032.0,758.0,M,Pensioner,House / apartment,No,Yes,N,No,No,Secondary / secondary special,x-sell,middle,20.0
310912,2024210,70665.0,18.0,0,851697.0,1280428.0,19,1271970.0,8458.0,F,Working,House / apartment,Yes,Yes,Y,No,Yes,Secondary / secondary special,x-sell,high,30.0
311096,1472706,10376.0,11.0,1,83034.0,156999.0,12,114136.0,42863.0,F,Commercial associate,House / apartment,Yes,Yes,N,No,No,Secondary / secondary special,x-sell,high,40.0
313956,1307131,5861.0,12.0,0,54418.0,93904.0,13,70332.0,23572.0,M,Working,House / apartment,Yes,Yes,Y,No,No,Secondary / secondary special,x-sell,middle,30.0
318745,2252594,53476.0,12.0,0,509004.0,1071948.0,13,641712.0,430236.0,M,Working,House / apartment,Yes,Yes,N,No,No,Higher education,x-sell,middle,30.0
319243,2706111,5046.0,12.0,0,47970.0,71619.0,13,60552.0,11067.0,M,Pensioner,House / apartment,No,Yes,Y,No,No,Higher education,x-sell,middle,30.0
320420,1652389,60515.0,24.0,0,865598.0,1454561.0,25,1452360.0,2201.0,F,Commercial associate,House / apartment,Yes,Yes,N,No,No,Secondary / secondary special,x-sell,high,30.0
323178,1835470,50129.0,12.0,0,526576.0,754872.0,13,601548.0,153324.0,F,Working,Municipal apartment,Yes,Yes,N,No,No,Secondary / secondary special,x-sell,low_normal,10.0
330421,2824122,19373.0,6.0,0,103797.0,117699.0,7,116238.0,1461.0,F,State servant,House / apartment,Yes,Yes,N,No,No,Secondary / secondary special,x-sell,middle,30.0
330960,2653109,4271.0,36.0,0,94536.0,155003.0,37,153756.0,1247.0,F,State servant,Municipal apartment,Yes,Yes,N,No,No,Secondary / secondary special,x-sell,middle,20.0
